"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2024","QN0601","Rego Park","871,465.203141863","17.24%","0.05%","0.20","5.25160213128","116"
"2024","QN0602","Forest Hills","391,757.228184131","10.97%","0.05%","0.17","4.75279775735","162"
"2024","QN0701","College Point","1,361,530.21057138","20.81%","0.09%","0.19","6.1004946758","48"
"2024","QN0702","Whitestone-Beechhurst","709,596.825602113","11.20%","0.09%","0.12","5.56484459892","90"
"2024","QN0703","Bay Terrace-Clearview","498,161.785151664","9.97%","0.06%","0.10","5.08688321499","131"
"2024","QN0704","Murray Hill-Broadway Flushing","1,171,346.50584345","12.37%","0.05%","0.27","6.07410383605","49"
"2024","QN0705","East Flushing","587,386.734248914","20.70%","0.07%","0.30","5.21135806647","120"
"2024","QN0706","Queensboro Hill","1,220,847.02041877","30.92%","0.05%","0.28","5.47261549432","102"
"2024","QN0707","Flushing-Willets Point","838,894.147898957","15.96%","0.07%","0.37","5.86830141194","60"
"2024","QN0801","Kew Gardens Hills","-311,932.665043698","14.01%","0.06%","0.15","4.31614306246","178"
"2024","QN0802","Pomonok-Electchester-Hillcrest","235,557.252383678","10.66%","0.09%","0.14","5.11182002342","130"
"2024","QN0803","Fresh Meadows-Utopia","665,195.176721195","13.84%","0.04%","0.16","4.97860848454","138"
